class,subclass
Q51687506,Q51687506
Q26260699,Q26260699
Q1443064,Q1443064
Q786803,Q786803
Q786803,Q10859257
Q7829682,Q7829682
Q1339582,Q1339582
Q7162621,Q7162621
Q7162621,Q2140674
Q7162621,Q4228595
Q7162621,Q4380763
Q7162621,Q16965421
Q7162621,Q54984682
Q7162621,Q1520365
Q7162621,Q15824243
Q7162621,Q17147560
Q7162621,Q39917302
Q7162621,Q56312823
Q7162621,Q104398136
Q7162621,Q107973730
Q7162621,Q1877460
Q7162621,Q4372969
Q7162621,Q279324
Q7162621,Q298246
Q7162621,Q2562623
Q7162621,Q3918693
Q7162621,Q166626
Q7162621,Q18554982
Q7162621,Q535425
Q7162621,Q31182249
Q7162621,Q5169522
Q7162621,Q107747236
Q7162621,Q107747241
Q7162621,Q107747246
Q7162621,Q107747250
Q7162621,Q6934936
Q7162621,Q66123967
Q7162621,Q104398173
Q7162621,Q104398177
Q7162621,Q3956352
Q7162621,Q55093134
Q7162621,Q7611182
Q7162621,Q18554981
Q7162621,Q7911051
Q109935543,Q109935543
Q50870824,Q50870824
Q22333190,Q22333190
Q5300066,Q5300066
Q25363097,Q25363097
Q14516417,Q14516417
Q18201623,Q18201623
Q13363321,Q13363321
Q10271409,Q10271409
Q5000589,Q5000589
Q178803,Q178803
Q178803,Q62955
Q178803,Q182722
Q178803,Q465279
Q178803,Q473666
Q178803,Q1574825
Q178803,Q11366892
Q178803,Q11466224
Q178803,Q11652895
Q178803,Q17017501
Q178803,Q30921528
Q178803,Q56299220
Q178803,Q24928
Q178803,Q7252741
Q178803,Q7310183
Q178803,Q30593942
Q178803,Q3733198
Q178803,Q6657142
Q178803,Q11872896
Q178803,Q63253382
Q178803,Q60846780
Q178803,Q24899550
Q178803,Q5421561
Q488526,Q488526
Q55426935,Q55426935
Q30634609,Q30634609
Q30634609,Q3370013
Q30634609,Q4788667
Q30634609,Q7302881
Q30634609,Q11920611
Q30634609,Q17047513
Q30634609,Q17047640
Q30634609,Q51368643
Q30634609,Q56052054
Q30634609,Q67008129
Q30634609,Q75738052
Q30634609,Q98801361
Q30634609,Q13619657
Q30634609,Q13859551
Q30634609,Q14332655
Q30634609,Q17611549
Q30634609,Q27510688
Q30634609,Q30514734
Q30634609,Q100786404
Q30634609,Q108334528
Q30634609,Q108548886
Q30634609,Q51368786
Q30634609,Q51368804
Q30634609,Q51368840
Q30634609,Q51368895
Q30634609,Q70979098
Q30634609,Q98801355
Q30634609,Q98801366
Q30634609,Q98801368
Q30634609,Q13789518
Q30634609,Q13790797
Q30634609,Q17524832
Q30634609,Q13859619
Q30634609,Q14124496
Q30634609,Q14331266
Q30634609,Q14521462
Q886568,Q886568
Q25893885,Q25893885
Q25893885,Q522291
Q25893885,Q18711682
Q100938499,Q100938499
Q22696400,Q22696400
Q3774758,Q3774758
Q3774758,Q7444557
Q3774758,Q18210964
Q92482719,Q92482719
Q321654,Q321654
Q22669601,Q22669601
Q5001131,Q5001131
Q28934204,Q28934204
Q747699,Q747699
Q747699,Q15788
Q747699,Q354091
Q747699,Q103831739
Q51159762,Q51159762
Q51159762,Q3053348
Q50877551,Q50877551
Q811891,Q811891
Q5666613,Q5666613
Q92480586,Q92480586
Q22442774,Q22442774
Q94450051,Q94450051
Q94464365,Q94464365
Q5378545,Q5378545
Q5378545,Q1525203
Q5378545,Q106006806
Q28649370,Q28649370
Q6813020,Q6813020
Q26001234,Q26001234
Q2242213,Q2242213
Q93559482,Q93559482
Q42767,Q42767
Q42767,Q1934603
Q94679999,Q94679999
Q18156020,Q18156020
Q63214346,Q63214346
Q209715,Q209715
Q209715,Q318140
Q209715,Q464122
Q209715,Q834550
Q209715,Q1443064
Q209715,Q2050944
Q209715,Q2429635
Q209715,Q2615857
Q209715,Q3812488
Q209715,Q5172238
Q209715,Q6038651
Q209715,Q18246596
Q209715,Q26197794
Q209715,Q26936080
Q209715,Q28224582
Q209715,Q39087739
Q209715,Q48847692
Q209715,Q48965516
Q26001251,Q26001251
Q13393124,Q13393124
Q476807,Q476807
Q476807,Q192623
Q476807,Q2399649
Q476807,Q6130595
Q476807,Q7539194
Q476807,Q97368680
Q476807,Q107238090
Q476807,Q328376
Q476807,Q547603
Q476807,Q851304
Q476807,Q1570496
Q476807,Q19841484
Q476807,Q106695887
Q476807,Q494497
Q476807,Q29530429
Q476807,Q107238003
Q476807,Q664017
Q476807,Q673751
Q476807,Q47461958
Q476807,Q104793302
Q476807,Q109927484
Q476807,Q23935163
Q476807,Q15144437
Q476807,Q107315326
Q476807,Q47459317
Q4752816,Q4752816
Q4752816,Q5100732
Q1363768,Q1363768
Q1363768,Q9165065
Q22669632,Q22669632
Q94694462,Q94694462
Q152074,Q152074
Q152074,Q674293
Q152074,Q11660662
Q152074,Q14515742
Q152074,Q54086246
Q152074,Q68337771
Q152074,Q102121362
Q152263,Q152263
Q152263,Q17071919
Q152263,Q17075010
Q686984,Q686984
Q686984,Q124757
Q686984,Q4617641
Q686984,Q7551432
Q686984,Q511866
Q686984,Q542289
Q686984,Q1751831
Q686984,Q2920604
Q686984,Q3260892
Q686984,Q3319892
