class	superclass
Q2380335	Q2380335
Q2380335	Q1174599
Q2380335	Q1931388
Q2380335	Q2001676
Q2380335	Q76370269
Q2380335	Q124490
Q2380335	Q4026292
Q2380335	Q2574811
Q2380335	Q645883
Q2380335	Q71266556
Q2380335	Q471145
Q2380335	Q1456832
Q2380335	Q1914636
Q2380335	Q627716
Q2380335	Q12786121
Q2380335	Q1190554
Q2380335	Q28972820
Q2380335	Q31464082
Q2380335	Q1920219
Q2380335	Q61788060
Q2380335	Q765633
Q2380335	Q26907166
Q2380335	Q3537603
Q2380335	Q6765918
Q2380335	Q20937557
Q2380335	Q621184
Q2380335	Q1150070
Q2380335	Q3249551
Q2380335	Q488383
Q2380335	Q3769299
Q2380335	Q35120
Q2380335	Q813912
Q2380335	Q451967
Q2380335	Q107290157
Q2380335	Q67518978
Q2380335	Q567555
Q2380335	Q9332
Q2380335	Q16887380
Q2380335	Q58415929
Q2380335	Q104493
Q2380335	Q849149
Q2380335	Q3505845
Q2380335	Q28813620
Q2380335	Q21170479
Q2380335	Q29896155
Q2380335	Q483247
Q2380335	Q937228
Q2380335	Q99527517
Q2380335	Q188572
Q2380335	Q1207505
Q2380335	Q10862449
Q2380335	Q55091441
Q2380335	Q42848
Q2380335	Q2684591
Q2380335	Q36161
Q2380335	Q930933
Q2380335	Q2995644
Q2380335	Q217594
Q2380335	Q864377
Q2380335	Q5469988
Q2380335	Q11028
Q2380335	Q7184903
Q2380335	Q108163
Q2380335	Q30241068
Q2380335	Q246672
Q2380335	Q474328
Q2380335	Q16889133
Q2380335	Q4393498
Q2380335	Q7048977
Q2380335	Q41796
Q2380335	Q16686448
Q2380335	Q1786828
Q2380335	Q9380010
Q2380335	Q15916540
Q2380335	Q5371079
Q2380335	Q628523
Q2380335	Q183046
Q2380335	Q20817253
Q2380335	Q16877783
Q2380335	Q29651519
Q27556165	Q27556165
Q27556165	Q2761147
Q27556165	Q1656682
Q27556165	Q1190554
Q27556165	Q26907166
Q27556165	Q58415929
Q27556165	Q35120
Q17853087	Q17853087
Q17853087	Q35120
Q17853087	Q1190554
Q17853087	Q26907166
Q17853087	Q58415929
Q1124012	Q1124012
Q1124012	Q29485
Q1124012	Q770480
Q1124012	Q2334719
Q1124012	Q2916183
Q1124012	Q849149
Q1124012	Q937228
Q1124012	Q1747121
Q1124012	Q86923152
Q1124012	Q3796713
Q1124012	Q47002783
Q1124012	Q180684
Q1124012	Q327197
Q1124012	Q386724
Q1124012	Q8016240
Q1124012	Q1301203
Q1124012	Q13370881
Q1124012	Q839578
Q1124012	Q451967
Q1124012	Q1864008
Q1124012	Q15401930
Q1124012	Q29896155
Q1124012	Q35120
Q1124012	Q6087062
Q1124012	Q813912
Q1124012	Q10862449
Q1124012	Q31172650
Q1124012	Q1190554
Q1124012	Q19829125
Q1124012	Q18603648
Q1124012	Q31464082
Q1124012	Q61788060
Q1124012	Q3505845
Q1124012	Q609298
Q1124012	Q26907166
Q1124012	Q1856757
Q1124012	Q2135540
Q1124012	Q15621286
Q1124012	Q3249551
Q1124012	Q36161
Q1124012	Q930933
Q1124012	Q1150771
Q1124012	Q16686448
Q1124012	Q1207505
Q1124012	Q55091441
Q1124012	Q2393196
Q1124012	Q488383
Q1124012	Q217594
Q1124012	Q864377
Q1124012	Q5469988
Q1124012	Q52948
Q1124012	Q602884
Q1124012	Q921513
Q1124012	Q7184903
Q1124012	Q2995644
Q1124012	Q188572
Q1124012	Q1150070
Q1124012	Q20937557
Q1124012	Q67518978
Q1124012	Q483247
Q1124012	Q58415929
Q1124012	Q1914636
Q1124012	Q3769299
Q1124012	Q4026292
Q1124012	Q42848
Q1124012	Q2684591
Q1124012	Q246672
Q1124012	Q16889133
Q1124012	Q9332
Q1124012	Q2990593
Q1124012	Q22294683
Q1124012	Q30241068
Q1124012	Q4393498
Q1124012	Q7048977
Q1124012	Q16887380
Q1124012	Q11028
Q1124012	Q108163
Q1124012	Q2996394
Q1124012	Q28813620
Q1124012	Q99527517
Q1124012	Q22269697
Q1124012	Q474328
Q1124012	Q13878858
Q1124012	Q64732777
Q1124012	Q41796
Q1124012	Q1786828
Q1124012	Q9380010
Q1124012	Q15916540
Q1124012	Q5371079
Q1124012	Q628523
Q1124012	Q183046
Q1124012	Q20817253
Q1124012	Q16877783
Q1124012	Q29651519
Q1757562	Q1757562
Q1757562	Q7590
Q1757562	Q765633
