ACE,transitive_cnt,type_label,type,#type_instances,property,property_label,count,also_known,data_type,constraint_label_list,constraint_class_list,tail_cnt
Q1156895,491,heritage designation,Q30634609,456,P17,country,435,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 385, 'Q3624078': 431, 'Q512187': 165, 'Q1489259': 44, 'Q1520223': 72, 'Q5255892': 59, 'Q859563': 105, 'Q4209223': 101, 'Q112099': 58, 'Q15634554': 14, 'Q20181813': 41, 'Q7270': 15, 'Q51576574': 12, 'Q202686': 17, 'Q1250464': 13, 'Q118365': 6, 'Q465613': 6, 'Q842112': 6, 'Q849866': 7, 'Q63791824': 22, 'Q6266': 20, 'Q41614': 2, 'Q179164': 14, 'Q48349': 5, 'Q611214': 5, 'Q43702': 7, 'Q619610': 3, 'Q123480': 1, 'Q1323642': 1, 'Q223832': 4}"
Q1156895,491,heritage designation,Q30634609,456,P1001,applies to jurisdiction,266,"applies to region, applies to geographic place, applies to geographic area, applies to area, valid in jurisdiction, of jurisdiction, linked to jurisdiction, country of jurisdiction, belongs to jurisdiction, applies to territorial jurisdiction, applied to jurisdiction, jurisdiction, applies to place",http://wikiba.se/ontology#WikibaseItem,"['university', 'government', 'political party', 'public administration', 'Christian Church', 'port', 'administrative territorial entity', 'geographic region', 'political territorial entity', 'district of New Zealand', 'First Nation band', 'sovereign state', 'fictional location', 'jurisdiction', 'legal proceeding', 'religious administrative territorial entity', 'geographic entity', 'country in a fiction work']","['Q3918', 'Q7188', 'Q7278', 'Q31728', 'Q34651', 'Q44782', 'Q56061', 'Q82794', 'Q1048835', 'Q2881272', 'Q2882257', 'Q3624078', 'Q3895768', 'Q5982983', 'Q6087062', 'Q20926517', 'Q27096213', 'Q57662985']","{'Q6256': 27, 'Q512187': 15, 'Q859563': 3, 'Q3624078': 30, 'Q4209223': 2, 'Q515': 30, 'Q5119': 21, 'Q1549591': 65, 'Q3184121': 60, 'Q51929311': 4, 'Q11828004': 50, 'Q10742': 18, 'Q1637706': 19, 'Q50330360': 3, 'Q485258': 34, 'Q2264924': 2, 'Q62049': 7, 'Q1093829': 10, 'Q41614': 1, 'Q13218391': 3, 'Q83057': 2, 'Q6266': 9, 'Q56061': 8, 'Q192611': 8, 'Q475050': 8, 'Q1094397': 8, 'Q1422929': 8, 'Q10864048': 8, 'Q50337': 2, 'Q486972': 1, 'Q1025961': 1, 'Q3788231': 1, 'Q21507383': 6, 'Q2736168': 8, 'Q3024240': 1, 'Q779415': 4, 'Q494721': 2, 'Q1749269': 1, 'Q65589340': 1, 'Q4925355': 1, 'Q9357527': 3, 'Q104117291': 5, 'Q3301053': 1, 'Q3559093': 1, 'Q48349': 2, 'Q611214': 2, 'Q1520223': 7, 'Q5255892': 7, 'Q7270': 4, 'Q51576574': 2, 'Q35657': 7, 'Q1221156': 1, 'Q200250': 1, 'Q856076': 1, 'Q3750285': 5, 'Q2074737': 1, 'Q902814': 1, 'Q13217644': 4, 'Q15647906': 4, 'Q17143371': 4, 'Q15221310': 1, 'Q21518270': 2, 'Q13212489': 1, 'Q5852411': 1, 'Q482821': 1, 'Q29045252': 6, 'Q15901936': 1, 'Q395994': 1, 'Q27495502': 1, 'Q748149': 1, 'Q1489259': 5, 'Q44551483': 3, 'Q3502482': 1, 'Q13410403': 1, 'Q108454666': 1, 'Q108454687': 1}"
Q1156895,491,heritage designation,Q30634609,456,P137,operator,87,"webmaster, service operator, operated by, managed by, item operator, facility operator, user, administrator",http://wikiba.se/ontology#WikibaseItem,"['human', 'organization', 'administrative territorial entity', 'fictional character', 'project', 'person', 'control room', 'occupation', 'fictional organization', 'association', 'group of humans', 'public transport network']","['Q5', 'Q43229', 'Q56061', 'Q95074', 'Q170584', 'Q215627', 'Q390516', 'Q12737077', 'Q14623646', 'Q15911314', 'Q16334295', 'Q18325841']","{'Q327333': 16, 'Q28106049': 11, 'Q45400320': 3, 'Q3315493': 6, 'Q19973770': 9, 'Q19983480': 6, 'Q157031': 2, 'Q178706': 2, 'Q35798': 2, 'Q3640798': 12, 'Q6501447': 2, 'Q43229': 18, 'Q1188075': 20, 'Q108663995': 1, 'Q11028': 1, 'Q15285626': 1, 'Q15925165': 1, 'Q2446662': 1, 'Q2516426': 1, 'Q6867215': 1, 'Q15409298': 1, 'Q4358176': 2, 'Q1802419': 1, 'Q11221827': 2, 'Q1664720': 1, 'Q2659904': 2, 'Q4164871': 1, 'Q3152824': 1, 'Q5774403': 1, 'Q7603363': 1, 'Q52341833': 1, 'Q955824': 1, 'Q5119': 1, 'Q1549591': 1, 'Q44551483': 1, 'Q10742': 1, 'Q31855': 1, 'Q7188': 1, 'Q484652': 1}"
Q102252225,152,coronation,Q209715,10,P276,location,9,"place held, moveable object location, location of item, located in, located, is in, locale, in, based in, region, event location, venue, locality, neighborhood",http://wikiba.se/ontology#WikibaseItem,"['planet', 'orbit', 'mass media', 'park', 'soil', 'tissue', 'geographic region', 'organ system', 'Lagrangian point', 'geographical feature', 'organ', 'club', 'interior space', 'event', 'space', 'educational institution', 'fictional location', 'anatomical structure', 'part', 'location', 'venue', 'event venue', 'extremity', 'mythical place', 'geographic entity', 'shell of an astronomical object', 'everywhere']","['Q634', 'Q4130', 'Q11033', 'Q22698', 'Q36133', 'Q40397', 'Q82794', 'Q188193', 'Q190463', 'Q618123', 'Q712378', 'Q988108', 'Q1299240', 'Q1656682', 'Q2133296', 'Q2385804', 'Q3895768', 'Q4936952', 'Q15989253', 'Q17334923', 'Q17350442', 'Q18674739', 'Q20203388', 'Q24334893', 'Q27096213', 'Q47495022', 'Q89464513']","{'Q515': 2, 'Q5119': 2, 'Q1549591': 2, 'Q6784672': 1, 'Q843886': 1, 'Q902814': 1, 'Q16970': 3, 'Q56242215': 2, 'Q570116': 1, 'Q1200957': 1, 'Q2065736': 1, 'Q56242235': 1, 'Q2977': 1, 'Q79324274': 1, 'Q23413': 1, 'Q33506': 1, 'Q53536964': 1, 'Q19860854': 1}"
Q102252225,152,coronation,Q209715,10,P585,point in time,9,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
Q102252225,152,coronation,Q209715,10,P17,country,7,"sovereign state, land, state, host country",http://wikiba.se/ontology#WikibaseItem,"['country', 'state', 'federation', 'empire', 'provisional government', 'polis', 'dependent territory', 'confederation', 'Roman province', 'ancient Chinese state', 'fictional country', 'client state', 'realm', 'subject of international law', 'occupied territory', 'historical country', 'sovereign state', 'fictional location', 'disputed territory', 'mythical place', 'state in the Holy Roman Empire', 'ancient civilization']","['Q6256', 'Q7275', 'Q43702', 'Q48349', 'Q59281', 'Q148837', 'Q161243', 'Q170156', 'Q182547', 'Q836688', 'Q1145276', 'Q1151405', 'Q1250464', 'Q1896989', 'Q2577883', 'Q3024240', 'Q3624078', 'Q3895768', 'Q15239622', 'Q24334893', 'Q26830017', 'Q28171280']","{'Q6256': 3, 'Q41614': 1, 'Q3624078': 3, 'Q7270': 1, 'Q123480': 1, 'Q48349': 1, 'Q3024240': 4, 'Q681026': 1, 'Q26830017': 1}"
Q2296401,4,phone conversation,Q2996400,2,P3342,significant person,8,"associated person, associated people, friends, friend, significant people, sign. person, person associated with the subject, notable person, notable people, key person, key people",http://wikiba.se/ontology#WikibaseItem,"['fictional character', 'person', 'mythical character']","['Q95074', 'Q215627', 'Q4271324']",{'Q5': 8}
Q2296401,4,phone conversation,Q2996400,2,P710,participant,4,"suspect, player, participants, event participant, competitor, between, belligerents, attendee, party, accused, agent",http://wikiba.se/ontology#WikibaseItem,"['human', 'cooperative', 'system', 'coalition', 'project', 'interview', 'agreement', 'tournament', 'occurrence', 'process', 'sports competition', 'fictional event', 'group of humans', 'mythical event', 'race result', 'creative work season']","['Q5', 'Q4539', 'Q58778', 'Q124964', 'Q170584', 'Q178651', 'Q321839', 'Q500834', 'Q1190554', 'Q3249551', 'Q13406554', 'Q14136353', 'Q16334295', 'Q24336466', 'Q54933017', 'Q70990126']",{'Q5': 4}
Q2296401,4,phone conversation,Q2996400,2,P276,location,2,"place held, moveable object location, location of item, located in, located, is in, locale, in, based in, region, event location, venue, locality, neighborhood",http://wikiba.se/ontology#WikibaseItem,"['planet', 'orbit', 'mass media', 'park', 'soil', 'tissue', 'geographic region', 'organ system', 'Lagrangian point', 'geographical feature', 'organ', 'club', 'interior space', 'event', 'space', 'educational institution', 'fictional location', 'anatomical structure', 'part', 'location', 'venue', 'event venue', 'extremity', 'mythical place', 'geographic entity', 'shell of an astronomical object', 'everywhere']","['Q634', 'Q4130', 'Q11033', 'Q22698', 'Q36133', 'Q40397', 'Q82794', 'Q188193', 'Q190463', 'Q618123', 'Q712378', 'Q988108', 'Q1299240', 'Q1656682', 'Q2133296', 'Q2385804', 'Q3895768', 'Q4936952', 'Q15989253', 'Q17334923', 'Q17350442', 'Q18674739', 'Q20203388', 'Q24334893', 'Q27096213', 'Q47495022', 'Q89464513']","{'Q5119': 1, 'Q1200957': 1, 'Q1637706': 1, 'Q5124045': 1, 'Q7930989': 1, 'Q51929311': 1, 'Q180516': 1, 'Q1772543': 1}"
Q2296401,4,phone conversation,Q2996400,2,P585,point in time,2,"time of event, on, event date, during, by date, at time, as of, when, time, year, date",http://wikiba.se/ontology#Time,,,{}
