a,b
http://www.wikidata.org/entity/P6718,http://www.wikidata.org/entity/P10
http://www.wikidata.org/entity/P27,http://www.wikidata.org/entity/P17
http://www.wikidata.org/entity/P495,http://www.wikidata.org/entity/P17
http://www.wikidata.org/entity/P1532,http://www.wikidata.org/entity/P17
http://www.wikidata.org/entity/P8047,http://www.wikidata.org/entity/P17
http://www.wikidata.org/entity/P41,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P94,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P109,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P117,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P158,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P181,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P242,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P948,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P1442,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P1766,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P1801,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P1846,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P1943,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P2713,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P2716,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P2910,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P3383,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P3451,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P5252,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P5555,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P5775,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P5962,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P6500,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P6802,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P7457,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P8224,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P8517,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P8592,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P8667,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P8766,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P9721,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P9906,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P10093,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P10253,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P10544,http://www.wikidata.org/entity/P18
http://www.wikidata.org/entity/P105,http://www.wikidata.org/entity/P31
http://www.wikidata.org/entity/P223,http://www.wikidata.org/entity/P31
http://www.wikidata.org/entity/P289,http://www.wikidata.org/entity/P31
http://www.wikidata.org/entity/P1435,http://www.wikidata.org/entity/P31
http://www.wikidata.org/entity/P1454,http://www.wikidata.org/entity/P31
http://www.wikidata.org/entity/P1574,http://www.wikidata.org/entity/P31
http://www.wikidata.org/entity/P10241,http://www.wikidata.org/entity/P31
http://www.wikidata.org/entity/P803,http://www.wikidata.org/entity/P39
http://www.wikidata.org/entity/P57,http://www.wikidata.org/entity/P50
http://www.wikidata.org/entity/P58,http://www.wikidata.org/entity/P50
http://www.wikidata.org/entity/P87,http://www.wikidata.org/entity/P50
http://www.wikidata.org/entity/P676,http://www.wikidata.org/entity/P50
http://www.wikidata.org/entity/P443,http://www.wikidata.org/entity/P51
http://www.wikidata.org/entity/P989,http://www.wikidata.org/entity/P51
http://www.wikidata.org/entity/P990,http://www.wikidata.org/entity/P51
http://www.wikidata.org/entity/P2012,http://www.wikidata.org/entity/P101
http://www.wikidata.org/entity/P2416,http://www.wikidata.org/entity/P101
http://www.wikidata.org/entity/P2579,http://www.wikidata.org/entity/P101
http://www.wikidata.org/entity/P450,http://www.wikidata.org/entity/P121
http://www.wikidata.org/entity/P1072,http://www.wikidata.org/entity/P121
http://www.wikidata.org/entity/P3438,http://www.wikidata.org/entity/P121
http://www.wikidata.org/entity/P3828,http://www.wikidata.org/entity/P121
http://www.wikidata.org/entity/P749,http://www.wikidata.org/entity/P127
http://www.wikidata.org/entity/P3931,http://www.wikidata.org/entity/P127
http://www.wikidata.org/entity/P2789,http://www.wikidata.org/entity/P129
http://www.wikidata.org/entity/P9275,http://www.wikidata.org/entity/P129
http://www.wikidata.org/entity/P17,http://www.wikidata.org/entity/P131
http://www.wikidata.org/entity/P1376,http://www.wikidata.org/entity/P131
http://www.wikidata.org/entity/P3018,http://www.wikidata.org/entity/P131
http://www.wikidata.org/entity/P149,http://www.wikidata.org/entity/P135
http://www.wikidata.org/entity/P5353,http://www.wikidata.org/entity/P137
http://www.wikidata.org/entity/P941,http://www.wikidata.org/entity/P144
http://www.wikidata.org/entity/P9810,http://www.wikidata.org/entity/P144
http://www.wikidata.org/entity/P14,http://www.wikidata.org/entity/P154
http://www.wikidata.org/entity/P828,http://www.wikidata.org/entity/P155
http://www.wikidata.org/entity/P1365,http://www.wikidata.org/entity/P155
