Property,Label,Question
P1596,penalty,"What penalty was given for the @@? 
What penalty was given in the @@?"
P2139,total revenue,What was the total amount of money paid out in the @@?
P7228,access restriction status,
P1817,addressee,Who was the @@ sent to?
P1416,affiliation,"Who was the @@ affiliated with?
What was the @@ affiliated with?"
P927,anatomical location,#N/A
P2243,apoapsis,What was the apoapsis of the @@?
P1001,applies to jurisdiction,What area did the @@ apply to?
P485,archives at,#N/A
P520,armament,What weapon was used in the @@?
P1110,attendance,"What was the number of people that attended the @@?
How many people attended the @@?"
P50,author,Who was the author of the @@?
P797,authority,"Who issued the @@? 
Who was responsible for the @@?"
P166,award received,What award was given for the @@?
P3015,backup or reserve team or crew,Who was the backup or reverse team for the @@?
P1868,ballots cast,How many ballots were cast in the @@?
P144,based on,What was the @@ based on?
P726,candidate,Who was the candidate in the @@?
P2505,carries,#N/A
P562,central bank/issuer,Who was the central bank in the @@?
P1595,charge,What was the charge in the @@?
P40,child,Who was born?
P2860,cites work,What does the @@ cite?
P195,collection,Where is the @@ stored?
P88,commissioned by,Who was the @@ commissioned by?
P607,conflict,Which conflict was the @@ related to?
P81,connecting line,What was the connecting line in the @@?
P2789,connects with,What does the @@ connect with?
P1537,contributing factor of,What movement did the @@ cause?
P275,copyright license,What copyright license was involved in the @@?
P6216,copyright status,What is the copyright status of the @@?
P17,country,In which country did the @@ happen?
P27,country of citizenship,What was the country of citizenship of the @@?
P495,country of origin,What was the country of origin of the @@?
P4884,court,In what court was the @@ made?
P170,creator,Who is the creator of the @@?
P1029,crew member(s),Who were the crew member(s) of the @@?
P177,crosses,What geographical feature did the @@ cross?
P489,currency symbol description,
P1373,daily patronage,#N/A
P569,date of birth,What was the date of birth of the @@?
P570,date of death,What was the date of death caused by the @@?
P1619,date of official opening,What was the date of official opening of the @@?
P1591,defendant,Who was the defendant in the @@?
P1299,depicted by,Who was the @@ mentioned by? 
P180,depicts,Who does the @@ depict?
P1343,described by source,Where was the @@ written about?
