ACE,label,transitive_cnt
Q273120,protest,4671
Q3966286,execution,25
Q102252225,enrollment,152
Q1416898,takeover,2
Q697327,lawsuit,105
Q545861,legal hearing,7
Q8454,capital punishment,59
Q175331,demonstration,2284
Q731112,mergers and acquisitions,2
Q1156895,nomination,491
Q1174599,attack,3631
Q1243001,fine,6
Q133492,letter,2886
Q13377609,money transfer,1
Q1403016,arrest,25
Q14819852,birth,409
Q152074,bankruptcy,3
Q171558,accident,5402
Q17310301,bill of indictment,3
Q1763090,sentence,256
Q177626,human migration,2062
Q17853087,merge,2200
Q180684,conflict,56518
Q193078,injury,118
Q210603,extradition,2
Q2296401,telephone call,4
Q2761147,meeting,15064
Q2916183,conviction,37
Q3075355,founding,12
Q3237993,release from prison,8
Q329525,criminal charge,17
Q329777,appeal,4
Q4,death,4154
Q40231,election,60289
Q5282797,dissolution,2
Q537151,pardon,22
Q601401,trade,8954
Q645883,military operation,20727
Q650711,combat,15281
Q685744,termination of employment,12
Q7590,transport,11271
Q8016240,trial,3609
Q841236,imprisonment,178
Q844482,killing,4239
Q8445,marriage,29
Q93190,divorce,20
